Timestamp;pix_x_v;yaw_angvel_100
16337000;-159;662
16364000;-154;1236
16391000;-549;1608
16417000;-693;2206
16444000;-589;2805
16471000;-879;3079
16497000;-825;3256
16524000;-1017;3329
16551000;-761;3513
16578000;-269;3561
16605000;-278;3738
16632000;-877;3836
16659000;-332;3867
16686000;-239;3818
16713000;-990;3598
16740000;-1202;3384
16767000;-965;3323
16793000;-177;3348
16820000;-176;3171
16847000;-808;2884
16874000;-936;2487
16901000;-598;1968
16928000;-442;1218
16955000;-271;595
16982000;-149;-118
17009000;82;-545
17036000;143;-1143
17063000;414;-1589
17090000;554;-2004
17117000;557;-2382
17144000;604;-2474
17170000;635;-2389
17197000;663;-2266
17224000;580;-2248
17251000;573;-2297
17278000;758;-2523
17305000;806;-2816
17332000;615;-3090
17359000;1104;-3243
17386000;1237;-3481
17413000;898;-3615
17440000;889;-3512
17467000;761;-3347
17494000;980;-2993
17521000;889;-2706
17547000;814;-2437
17574000;831;-2370
17601000;573;-2297
17628000;459;-2077
17655000;670;-1882
17682000;540;-1619
17709000;385;-1168
17736000;311;-503
17763000;75;314
17789000;-163;1071
17816000;-345;1901
17843000;-824;2603
17870000;-676;3165
17897000;-986;3500
17923000;-953;3873
17950000;-1242;4129
17977000;-414;4245
18004000;-192;4050
18031000;-1133;3873
18058000;-896;3897
18085000;-403;3928
18112000;-835;3873
18139000;-359;3836
18166000;-114;3726
18193000;-921;3317
18220000;-928;2737
18247000;-640;1889
18273000;-430;839
18300000;-138;-472
18327000;218;-1485
18353000;481;-2144
18380000;654;-2663
18407000;687;-2907
18434000;1030;-3005
18461000;694;-3048
18488000;957;-3145
18515000;846;-3426
18542000;1067;-3640
18569000;1114;-3786
18596000;989;-3853
18623000;1345;-3878
18649000;1354;-3701
18676000;975;-3213
18703000;885;-2730
18730000;685;-2297
18756000;563;-1723
18783000;377;-991
18810000;323;-515
18837000;0;180
18864000;-109;699
18891000;-236;1102
18917000;-393;1651
18944000;-649;2316
18971000;-547;2762
18998000;-1013;3110
19024000;-1189;3201
19050000;-805;3122
19077000;-802;3079
19104000;-910;3213
19131000;-1035;3390
19158000;-926;3360
19185000;-1009;3165
19212000;-1004;2530
19239000;-681;2280
19266000;-579;2048
19293000;-505;1889
19320000;-499;1450
19347000;-270;961
19374000;-319;327
19400000;0;-368
19427000;285;-1211
19454000;307;-1900
19481000;455;-2328
19508000;853;-2987
19535000;967;-3420
19561000;1004;-3646
19587000;1041;-3615
19613000;936;-3463
19640000;1018;-3383
19667000;1112;-3499
19693000;894;-3414
19720000;1066;-3206
19747000;908;-2730
19773000;682;-2321
19800000;614;-2071
19827000;581;-1906
19854000;554;-1662
19881000;411;-1485
19907000;422;-1302
19934000;390;-1003
19960000;231;-448
19987000;92;357
20013000;-187;796
20040000;-381;1199
20067000;-387;1614
20094000;-579;1926
20121000;-426;2097
20147000;-674;2377
20174000;-592;2628
20200000;-1003;2933
20227000;-955;3110
20254000;-697;3085
20281000;-1102;3012
20308000;-787;3079
20335000;-973;3238
20362000;-943;3366
20389000;-150;3305
20416000;-161;3238
20443000;-701;3403
20470000;-844;3409
20496000;-845;3305
20523000;-957;2701
20550000;-648;1883
20577000;-496;1065
20604000;-137;-142
20631000;107;-619
20658000;231;-1076
20685000;336;-1528
20712000;436;-1906
20739000;539;-2169
20766000;756;-2279
20793000;745;-2468
20820000;782;-2669
20847000;696;-2773
20873000;837;-2797
20900000;674;-2816
20926000;819;-2779
20953000;1010;-2706
20980000;1006;-2633
21007000;834;-2517
21034000;754;-2334
21061000;550;-2035
21088000;654;-1534
21115000;458;-777
21142000;160;406
21169000;-146;1022
21196000;-486;1956
21223000;-537;2310
21249000;-757;2579
21275000;-742;2811
21302000;-691;3006
21329000;-869;3067
21356000;-1101;3098
21383000;-863;3183
21410000;-980;3293
21437000;-38;3445
21464000;-1052;3574
21491000;-1212;3397
21518000;-165;2853
21545000;-904;1572
21572000;-304;455
21598000;0;-466
21625000;150;-814
21652000;350;-1137
21678000;501;-1607
21705000;427;-1998
21732000;623;-2370
21759000;758;-2639
21786000;691;-2718
21813000;592;-2755
21840000;995;-2822
21865000;713;-3133
21892000;807;-3298
21919000;848;-3420
21945000;850;-3451
21971000;964;-3451
21997000;1052;-3512
22023000;947;-3249
22050000;984;-2920
22076000;804;-2492
22102000;761;-1796
22129000;500;-1058
22156000;298;-2
22183000;-89;449
22210000;-264;1321
22237000;-373;2054
22263000;-772;2835
22289000;-843;3458
22315000;-886;3854
22341000;-187;3946
22367000;-1406;4013
22393000;-1042;4025
22420000;-1199;3757
22447000;-1039;3592
22474000;-1095;3348
22500000;-710;3134
22527000;-136;2957
22554000;-904;2304
22581000;-518;1694
22608000;-551;1230
22635000;-271;601
22662000;-112;-39
22689000;39;-246
22716000;79;-405
22743000;119;-814
22770000;225;-1088
22796000;375;-1363
22822000;441;-1577
22847000;357;-1693
22873000;641;-1742
22899000;453;-1742
22925000;404;-1772
22952000;503;-1638
22979000;443;-1565
23006000;511;-1388
23033000;304;-1180
23060000;412;-1131
23087000;369;-948
23114000;224;-808
23141000;144;-710
23168000;204;-600
23195000;187;-557
23222000;148;-484
23248000;155;-356
23274000;81;-210
23301000;38;-2
23328000;46;101
23355000;-62;131
23381000;0;272
23408000;-153;357
23435000;-76;546
23461000;-197;778
23488000;-191;1132
23514000;-468;1309
23541000;-270;1492
23567000;-475;1651
23594000;-528;1846
23621000;-641;2066
23648000;-595;2280
23675000;-558;2365
23702000;-716;2237
23729000;-750;1920
23755000;-444;1450
23782000;-383;1035
23808000;-230;674
23835000;-163;339
23862000;-71;-2
23889000;45;-136
23915000;45;-344
23941000;108;-637
23968000;203;-887
23995000;316;-1186
24022000;323;-1473
24049000;420;-1656
24076000;499;-1687
24102000;458;-1723
24128000;381;-1894
24155000;607;-1949
24182000;590;-1870
24209000;619;-1589
24236000;376;-1198
24261000;232;-777
24287000;207;-326
24313000;37;180
24339000;-87;320
24365000;-120;693
24391000;-261;1047
24418000;-319;1334
24445000;-428;1675
24472000;-416;2115
24499000;-780;2505
24526000;-977;2701
24553000;-604;2536
24580000;-785;2274
24607000;-581;2036
24634000;-633;1730
24660000;-490;1468
24687000;-302;1205
24714000;-371;821
24740000;-136;-75
24767000;0;-442
24794000;153;-710
24821000;236;-899
24848000;306;-1082
24875000;268;-1021
24901000;316;-991
24927000;273;-1107
24954000;288;-1180
24981000;355;-1442
25008000;406;-1656
25035000;490;-1955
25062000;589;-2089
25089000;651;-2169
25116000;690;-2218
25142000;579;-2346
25169000;640;-2578
25196000;798;-2932
25223000;862;-2962
25249000;1096;-2797
25275000;1002;-2578
25302000;624;-2486
25328000;654;-2505
25354000;771;-2279
25381000;482;-1937
25408000;559;-1369
25435000;352;-747
25462000;0;412
25489000;-146;1053
25516000;-396;1804
25542000;-495;2090
25570000;-482;2084
25596000;-660;2066
25622000;-608;2213
25649000;-722;2414
25675000;-694;2591
25702000;-645;2713
25728000;-806;2652
25755000;-644;2469
25782000;-636;2274
25808000;-586;2048
25835000;-698;1791
25862000;-386;1370
25889000;-417;1138
25915000;-309;919
25942000;-232;485
25968000;-122;162
25995000;-31;-81
26022000;0;-191
26049000;76;-496
26075000;178;-820
26102000;243;-1253
26128000;334;-1510
26154000;466;-1589
26180000;377;-1607
26206000;509;-1760
26233000;544;-1870
26260000;481;-2035
26287000;729;-2242
26314000;460;-2266
26340000;814;-2108
26367000;684;-1815
26394000;514;-1668
26421000;531;-1601
26448000;502;-1742
26475000;483;-1894
26502000;480;-1992
26529000;719;-2041
26556000;497;-1992
26583000;550;-1479
26610000;452;-1046
26637000;241;46
26664000;-40;656
26691000;-187;1169
26717000;-470;1572
26743000;-415;1761
26769000;-463;1938
26795000;-494;1968
26822000;-704;1956
26848000;-484;2066
26873000;-645;2194
26898000;-572;2188
26925000;-586;1993
26951000;-579;1810
26978000;-516;1401
27004000;-281;906
27031000;-318;400
27058000;-92;-234
27085000;75;-564
27112000;230;-1088
27139000;313;-1540
27166000;569;-1955
27192000;432;-2181
27219000;637;-2224
27246000;679;-2089
27272000;720;-1992
27299000;484;-1839
27326000;486;-1632
27352000;562;-1491
27379000;440;-1455
27406000;375;-1601
27433000;514;-1723
27460000;452;-1766
27487000;453;-1919
27514000;660;-2138
27541000;623;-2437
27568000;793;-2370
27594000;562;-1778
27621000;532;-710
27648000;127;168
27674000;-151;1407
27701000;-452;2103
27728000;-770;2579
27755000;-779;2866
27782000;-712;3049
27809000;-986;3122
27836000;-878;2896
27863000;-833;2170
27890000;-544;1620
27917000;-460;1022
27944000;-245;455
27971000;-77;174
27998000;-89;107
28025000;0;-45
28051000;0;-142
28078000;76;-210
28105000;37;-429
28131000;163;-881
28158000;333;-1504
28185000;539;-2242
28212000;655;-3060
28238000;1011;-3267
28265000;918;-3182
28292000;857;-3066
28319000;853;-2981
28346000;773;-2956
28373000;1060;-2706
28400000;845;-2498
28427000;566;-2151
28454000;683;-1748
28481000;646;-1101
28507000;221;-533
28534000;0;394
28561000;-151;1028
28588000;-449;1578
28615000;-454;2109
28641000;-647;2573
28668000;-825;2731
28695000;-599;2731
28722000;-555;2475
28749000;-688;2127
28776000;-729;1785
28803000;-600;1547
28830000;-379;1309
28857000;-387;992
28884000;-276;601
28911000;-120;-106
28937000;38;-631
28964000;272;-1125
28991000;349;-2053
29018000;640;-3139
29045000;1028;-4012
29071000;1222;-4342
29098000;1396;-4281
29125000;1062;-3768
29152000;1138;-3219
29179000;864;-2566
29206000;648;-1821
29233000;604;-1192
29260000;341;-356
29287000;-92;491
29314000;-225;1431
29341000;-536;2225
29368000;-681;2945
29394000;-1108;3616
29421000;-1194;3702
29448000;-330;4025
29475000;-1403;4062
29502000;-1204;3860
29529000;-1191;3610
29556000;-924;3043
29583000;-686;1559
29610000;-505;821
29637000;-117;-686
29664000;425;-2199
29691000;797;-2932
29718000;748;-2962
29745000;715;-2517
29772000;722;-1583
29798000;302;-57
29824000;0;870
29851000;-175;1602
29878000;-586;2097
29905000;-666;2188
29932000;-700;2151
29959000;-649;1993
29986000;-539;1498
30013000;-344;1199
30040000;-242;1059
30067000;-315;949
30094000;-285;876
30121000;-311;815
30148000;-175;796
30175000;-216;827
30201000;-221;827
30228000;-325;912
30255000;-249;1108
30282000;-322;1187
30309000;-473;1303
30336000;-351;1297
30363000;-404;1096
30390000;-272;790
30417000;-231;455
30444000;-35;-81
30471000;0;-301
30498000;134;-588
30525000;182;-728
30552000;211;-930
30578000;224;-1015
30605000;362;-985
30632000;314;-973
30659000;327;-1070
30686000;283;-1217
30713000;388;-1229
30740000;322;-1137
30767000;272;-844
30794000;208;-478
30821000;152;-295
30848000;34;113
30875000;-34;211
30902000;-81;351
30928000;-75;424
30955000;-121;601
30982000;-218;711
31009000;-230;790
31036000;-254;803
31063000;-198;717
31090000;-215;565
31117000;-175;320
31144000;-34;156
31171000;-37;-2
31198000;0;-2
31225000;0;3
31252000;0;-2
31279000;0;46
31305000;0;3
31332000;0;-51
31359000;0;-20
31386000;0;3
31413000;0;3
31440000;0;-39
31467000;0;-20
31494000;0;-14
31521000;0;9
31548000;0;9
31575000;0;-2
31602000;0;-8
31629000;0;-2
31656000;-35;-8
31682000;0;21
31708000;0;-2
31735000;0;3
31762000;-46;46
31789000;0;34
31816000;0;3
