Timestamp;pix_x_v;yaw_angvel_100
14306000;-230;993
14333000;-271;1097
14360000;-323;1195
14387000;-350;1244
14414000;-427;1347
14441000;-398;1518
14468000;-389;1695
14494000;-503;1848
14521000;-537;1994
14548000;-557;2092
14575000;-718;2257
14602000;-823;2513
14629000;-628;2830
14656000;-800;3258
14682000;-1286;4002
14708000;-908;4558
14735000;-1483;5400
14761000;-1797;5955
14787000;-1838;6316
14814000;-1940;5949
14841000;-1778;5241
14867000;-1279;4167
14894000;-772;2733
14920000;-795;1695
14947000;-436;871
14974000;-162;542
15001000;-122;420
15028000;-94;389
15055000;-75;346
15082000;-77;304
15109000;-39;200
15136000;-86;66
15163000;0;-1
15189000;0;-13
15216000;47;-25
15242000;0;53
15269000;0;-25
15296000;42;-25
15323000;0;-1
15350000;0;-13
15377000;49;-92
15404000;46;-232
15431000;125;-391
15458000;78;-416
15484000;129;-434
15511000;92;-373
15538000;93;-318
15565000;80;-342
15592000;90;-409
15617000;86;-501
15644000;161;-776
15671000;289;-995
15698000;375;-1246
15725000;465;-1380
15752000;403;-1441
15779000;417;-1490
15806000;475;-1471
15833000;317;-1410
15860000;441;-1343
15887000;412;-1343
15914000;431;-1551
15941000;377;-1966
15967000;822;-2448
15994000;1067;-3528
16021000;907;-4346
16048000;1095;-4999
16075000;1148;-5768
16102000;1583;-6086
16128000;1281;-6141
16155000;1275;-6019
16182000;1595;-5543
16209000;1475;-4700
16236000;1012;-3956
16263000;1178;-3138
16290000;819;-2076
16317000;440;-1014
16344000;233;-153
16370000;-46;145
16397000;0;-68
16423000;0;23
16450000;0;5
16477000;0;29
16504000;0;-13
16531000;0;29
16558000;0;-13
16585000;35;35
16612000;0;-19
16639000;0;-7
16666000;0;-1
16693000;0;11
16720000;0;17
16747000;0;-1
16774000;0;35
16801000;0;29
16827000;0;11
16854000;0;17
16881000;0;17
16908000;0;17
16935000;0;35
16962000;0;53
16989000;-38;66
17016000;0;139
17043000;-81;310
17070000;-128;566
17097000;-194;780
17124000;-228;969
17151000;-323;1262
17177000;-389;1469
17204000;-376;1726
17231000;-494;1866
17258000;-617;2141
17285000;-578;2348
17312000;-780;2684
17339000;-835;3026
17366000;-818;3221
17393000;-806;3117
17420000;-944;3050
17447000;-694;2965
17473000;-807;3075
17500000;-881;3209
17527000;-1034;3459
17553000;-918;3813
17580000;-925;4356
17607000;-1328;5119
17634000;-1686;5925
17661000;-1924;6358
17688000;-1515;6944
17715000;-2297;6822
17742000;-2008;5669
17769000;-1481;3886
17796000;-957;1292
17823000;-217;-330
17850000;228;-580
17877000;113;-355
17904000;91;-104
17930000;0;53
17957000;0;-74
17983000;0;-13
18010000;-43;72
18037000;0;-43
18064000;0;-19
18091000;0;17
18118000;0;-19
18145000;0;17
18172000;37;11
18199000;0;-31
18226000;0;-129
18253000;75;-190
18280000;49;-257
18307000;91;-312
18334000;116;-361
18360000;121;-409
18387000;128;-495
18414000;174;-532
18441000;93;-586
18468000;219;-617
18495000;199;-574
18522000;155;-580
18549000;123;-660
18575000;239;-843
18602000;388;-1276
18629000;339;-1636
18656000;550;-1771
18682000;512;-1868
18709000;505;-2082
18736000;663;-2253
18763000;694;-2259
18789000;801;-2143
18816000;578;-2002
18842000;522;-1844
18869000;601;-1673
18896000;417;-1673
18923000;461;-1887
18950000;446;-2021
18977000;751;-2399
19004000;587;-2582
19031000;839;-2570
19058000;542;-2308
19085000;607;-2137
19112000;522;-1935
19139000;649;-1954
19166000;619;-2161
19193000;554;-2350
19219000;632;-2485
19246000;870;-2582
19273000;857;-2668
19300000;732;-2814
19327000;917;-2918
19353000;946;-2869
19380000;697;-2729
19406000;844;-2466
19432000;694;-2234
19458000;520;-2039
19485000;782;-1960
19512000;655;-1929
19539000;525;-1832
19565000;386;-1691
19591000;599;-1545
19618000;465;-1435
19644000;382;-1356
19670000;458;-1191
19696000;321;-1081
19722000;286;-922
19749000;238;-763
19775000;277;-666
19802000;154;-532
19829000;147;-409
19856000;87;-324
19883000;88;-208
19910000;79;-74
19937000;0;41
19963000;0;-19
19990000;0;17
20017000;0;17
20044000;0;23
20071000;0;17
20098000;0;35
20125000;0;35
20151000;0;72
20177000;-92;279
20204000;-78;615
20231000;-281;951
20257000;-337;1347
20284000;-459;1610
20311000;-497;1866
20337000;-590;2092
20364000;-525;2232
20391000;-711;2190
20417000;-698;2141
20443000;-737;2000
20469000;-596;1982
20496000;-530;2086
20522000;-635;2415
20549000;-637;2708
20576000;-965;2946
20603000;-1059;3276
20630000;-860;3307
20656000;-1060;3386
20683000;-868;3734
20709000;-775;4088
20735000;-1562;4381
20762000;-1675;5077
20789000;-1363;5724
20815000;-1562;5748
20841000;-1721;5461
20868000;-1229;4942
20895000;-1391;4045
20921000;-1196;2525
20948000;-605;1451
20975000;-167;-245
21002000;75;-556
21029000;164;-678
21055000;263;-733
21081000;150;-702
21108000;192;-648
21134000;167;-666
21159000;172;-635
21186000;182;-654
21213000;189;-501
21240000;72;-300
21266000;135;-190
21293000;48;-117
21320000;46;5
21347000;0;35
21374000;0;17
21401000;0;-1
21428000;0;-37
21455000;43;-49
21482000;0;-86
21508000;43;-135
21533000;42;-92
21560000;0;-43
21586000;0;5
21613000;0;17
21640000;38;-37
21666000;43;-171
21693000;46;-330
21719000;118;-452
21745000;166;-599
21771000;142;-794
21798000;273;-1136
21825000;435;-1661
21852000;718;-2778
21879000;741;-4133
21905000;1376;-5341
21932000;1547;-7056
21959000;1367;-7966
21986000;1528;-8088
22013000;1669;-8137
22040000;1697;-7667
22067000;1254;-6513
22094000;1325;-5805
22120000;1561;-4664
22147000;1354;-3400
22174000;849;-2631
22201000;755;-1966
22227000;447;-1410
22253000;475;-1075
22279000;344;-1050
22305000;321;-989
22331000;305;-989
22357000;300;-940
22384000;242;-928
22411000;293;-800
22437000;163;-513
22464000;135;-117
22490000;0;53
22517000;0;29
22544000;0;66
22570000;-38;163
22597000;-74;420
22623000;-177;682
22650000;-300;1146
22676000;-372;1451
22703000;-545;1616
22729000;-455;1616
22756000;-544;1591
22783000;-384;1421
22809000;-420;1207
22835000;-355;969
22862000;-229;774
22889000;-164;761
22915000;-270;883
22942000;-258;1207
22968000;-431;1573
22995000;-392;1976
23022000;-753;2788
23049000;-864;3722
23076000;-922;4582
23103000;-1538;5467
23130000;-1821;7268
23157000;-2232;8885
23182000;-2215;10362
23208000;-2769;11192
23235000;-2916;9648
23262000;-2707;7390
23289000;-2018;3661
23315000;-664;1268
23342000;0;-684
23369000;323;-800
23396000;266;-471
23423000;138;-306
23450000;93;-318
23477000;138;-507
23504000;156;-751
23531000;212;-886
23558000;319;-1069
23583000;285;-1203
23610000;342;-1374
23637000;469;-1435
23664000;544;-1471
23691000;382;-1502
23718000;384;-1587
23745000;379;-1594
23772000;408;-1764
23799000;498;-1911
23826000;634;-2125
23852000;463;-2167
23878000;672;-2314
23904000;726;-2381
23931000;692;-2363
23956000;461;-2442
23983000;764;-2851
24010000;968;-3174
24037000;961;-3437
24064000;863;-3473
24091000;1065;-3602
24117000;1058;-3815
24144000;1015;-4328
24170000;1268;-5030
24196000;1666;-6055
24222000;1309;-7300
24248000;1917;-7941
24274000;1832;-8417
24301000;1434;-7960
24327000;1476;-7233
24353000;1724;-6415
24380000;1216;-4975
24406000;1375;-3687
24432000;951;-2051
24459000;502;-861
24486000;236;66
24512000;-79;279
24539000;-82;267
24566000;-78;298
24592000;-111;230
24619000;-42;102
24646000;0;-13
24673000;0;-7
24699000;0;-1
24726000;0;29
24753000;0;41
24780000;0;29
24807000;0;-1
24834000;0;23
24860000;0;41
24887000;0;59
24914000;0;114
24941000;-42;218
24968000;-76;328
24995000;-176;420
25022000;-175;554
25049000;-174;639
25076000;-234;713
25103000;-279;774
25130000;-229;786
25157000;-203;719
25184000;-180;621
25210000;-286;627
25237000;-177;645
25264000;-206;780
25290000;-362;908
25317000;-510;1360
25344000;-474;1585
25370000;-469;1884
25397000;-623;2299
25424000;-703;2556
25451000;-887;2611
25478000;-772;2470
25505000;-779;2238
25532000;-819;2165
25559000;-754;2324
25586000;-840;2721
25613000;-811;3117
25639000;-985;3636
25666000;-1173;4436
25693000;-1236;5315
25720000;-1456;6499
25747000;-2624;7414
25774000;-2800;8586
