Timestamp;yaw_angvel_10;pix_x_v_filter_10;tar_v_ronghe;tar_v_ronghe_filter;armor_sign
13214000;-121;122;18;39;1
13242000;-141;104;-21;8;1
13271000;-171;130;-42;-25;1
13299000;-200;160;-16;-16;1
13327000;-216;187;-1;-31;1
13355000;-238;221;15;14;1
13383000;-250;216;-1;-9;1
13411000;-234;197;-8;6;1
13439000;-162;196;62;40;1
13467000;-114;144;51;47;1
13495000;-114;98;-1;24;1
13522000;-150;83;-54;-15;1
13550000;-201;138;-42;-43;1
13578000;-300;234;-31;-37;1
13607000;-393;298;-50;-73;1
13635000;-474;327;-73;-76;1
13663000;-543;379;-14;-32;1
13692000;-558;407;18;-11;1
13720000;-543;354;-42;-24;1
13748000;-441;279;-120;-96;1
13776000;-285;278;62;19;1
13804000;-122;204;111;96;1
13833000;9;106;104;115;1
13861000;102;-2;100;108;1
13888000;173;-108;49;67;1
13916000;211;-166;73;57;1
13944000;277;-168;84;73;1
13972000;322;-228;14;45;1
14000000;332;-268;23;50;1
14028000;322;-338;-107;-29;1
14056000;249;-268;-59;-37;1
14083000;217;-231;-47;-31;1
14111000;178;-165;-11;-23;1
14139000;149;-126;4;-9;1
14167000;149;-143;-14;-19;1
14195000;162;-181;-45;-14;1
14223000;152;-126;7;4;1
14251000;108;-137;-48;-34;1
14278000;61;-85;-36;-38;1
14308000;33;-43;-16;-29;1
14335000;62;-36;21;3;1
14363000;127;-72;44;38;1
14391000;219;-118;84;85;1
14419000;344;-255;51;75;1
14447000;383;-297;42;48;1
14475000;364;-346;-33;-13;1
14503000;339;-254;47;24;1
14531000;313;-218;63;42;1
14559000;264;-207;26;27;1
14587000;210;-201;-21;-27;1
14615000;174;-188;-52;-43;1
14643000;146;-165;-43;-36;1
14671000;166;-135;10;-3;1
14698000;186;-159;52;25;1
14726000;234;-175;49;51;1
14754000;279;-176;93;82;1
14782000;306;-249;20;32;1
14810000;315;-315;-43;-18;1
14838000;306;-306;-45;-20;1
14866000;280;-242;-9;-15;1
14894000;213;-230;-50;-40;1
14923000;95;-142;-68;-66;1
14951000;-3;-50;-120;-103;1
14979000;-161;52;-101;-102;1
15007000;-244;108;-120;-104;1
15035000;-274;170;-79;-61;1
15062000;-298;271;13;-25;1
15090000;-314;283;3;-7;1
15118000;-322;266;-16;-10;1
15146000;-306;247;-22;-13;1
15175000;-275;268;117;49;1
15203000;-237;268;70;58;1
15231000;-219;223;84;56;1
15259000;-209;206;27;45;1
15287000;-212;209;28;8;1
15315000;-223;187;-8;-14;1
15344000;-223;167;-31;-17;1
15372000;-226;203;6;0;1
15399000;-237;257;58;14;1
15427000;-242;236;-3;6;1
15455000;-239;161;-54;-26;1
15483000;-225;174;-25;0;1
15510000;-217;243;62;10;1
15538000;-205;189;11;2;1
15566000;-193;169;0;4;1
15594000;-190;190;27;13;1
15623000;-193;173;5;4;1
15652000;-195;157;-49;-17;1
15680000;-197;157;-16;-16;1
15708000;-195;150;-23;-23;1
15736000;-190;222;64;28;1
15764000;-177;147;-8;-2;1
15792000;-175;208;63;34;1
15820000;-180;150;-8;0;1
15848000;-178;195;46;15;1
15876000;-173;169;21;14;1
15903000;-167;137;16;5;1
15930000;-155;150;16;15;1
15958000;-145;130;3;11;1
15985000;-142;144;23;7;1
16013000;-150;137;7;8;1
16041000;-151;158;30;10;1
16069000;-151;129;-3;-1;1
16097000;-151;126;-6;-7;1
16125000;-140;177;62;24;1
16153000;-114;106;7;17;1
16181000;-79;110;46;34;1
16208000;-37;79;53;47;1
16236000;-6;42;42;42;1
16264000;9;5;15;23;1
16292000;12;-11;0;9;1
16320000;31;-6;24;13;1
16348000;53;-30;19;19;1
16377000;72;-44;22;27;1
16404000;84;-56;19;11;1
16432000;92;-74;7;7;1
16460000;95;-72;13;3;1
16488000;104;-98;-8;0;1
16516000;114;-113;-15;-4;1
16544000;121;-109;-3;8;1
16572000;131;-93;24;20;1
16600000;145;-133;-7;6;1
16629000;150;-121;11;0;1
16657000;153;-117;19;8;1
16685000;150;-151;-22;-3;1
16713000;148;-142;-14;-11;1
16741000;144;-140;-14;-11;1
16769000;141;-114;10;-5;1
16796000;134;-122;-5;-18;1
16824000;134;-117;0;-12;1
16853000;136;-133;-16;-5;1
16881000;138;-119;1;2;1
16909000;140;-122;0;1;1
16937000;141;-151;-31;-9;1
16965000;141;-132;-10;2;1
16993000;140;-121;-2;1;1
17021000;133;-120;-4;-4;1
17049000;127;-101;11;1;1
17077000;120;-116;-13;-5;1
17105000;127;-107;4;0;1
17133000;152;-127;6;7;1
17160000;165;-118;29;30;1
17189000;181;-120;43;33;1
17217000;204;-215;-42;-15;1
17245000;216;-168;22;7;1
17273000;211;-203;-21;0;1
17301000;193;-203;-20;-17;1
17329000;166;-174;-34;-24;1
17357000;148;-125;4;-8;1
17385000;142;-110;15;3;1
17414000;144;-181;-63;-33;1
17442000;146;-137;-25;-20;1
17470000;161;-143;-2;2;1
17499000;178;-170;-16;2;1
17527000;193;-162;-16;1;1
17554000;199;-156;20;6;1
17582000;192;-128;45;17;1
17610000;188;-192;-32;-8;1
17639000;192;-191;-26;-22;1
17667000;192;-154;15;0;1
17695000;188;-150;16;5;1
17724000;173;-160;-10;-6;1
17752000;165;-170;-30;-16;1
17780000;152;-126;7;-1;1
17808000;141;-115;8;1;1
17836000;119;-119;-17;-20;1
17864000;90;-122;-49;-22;1
17893000;44;-82;-49;-35;1
17920000;-24;-25;-53;-53;1
17948000;-72;18;-44;-47;1
17976000;-140;68;-62;-67;1
18004000;-193;153;-27;-57;1
18032000;-212;140;-51;-37;1
18060000;-213;159;-30;-21;1
18087000;-198;192;21;-4;1
18115000;-181;183;29;6;1
18143000;-181;157;0;-7;1
18170000;-193;163;-5;-10;1
18198000;-204;142;-41;-26;1
18226000;-221;179;-15;-10;1
18255000;-228;203;5;3;1
18283000;-223;201;7;3;1
18311000;-208;150;-35;-18;1
18339000;-196;184;-22;-7;1
18367000;-179;156;0;0;1
18395000;-167;139;-7;-3;1
18422000;-170;147;-1;1;1
18451000;-185;158;-3;-6;1
18478000;-190;161;-5;-4;1
18506000;-201;194;21;7;1
18534000;-200;152;28;4;1
18561000;-195;165;-5;-11;1
18589000;-200;169;-5;-5;1
18617000;-223;123;-82;-47;1
18645000;-238;221;11;0;1
18673000;-257;219;-5;-12;1
18701000;-276;247;7;-6;1
18729000;-276;247;7;1;1
18757000;-272;250;14;17;1
18785000;-277;217;-27;-3;1
18813000;-272;212;-28;-23;1
18841000;-242;256;51;33;1
18868000;-204;266;101;58;1
18896000;-162;168;30;35;1
18924000;-143;142;19;26;1
18952000;-137;143;27;21;1
18980000;-148;90;-44;-16;1
19008000;-163;139;-3;-2;1
19036000;-181;157;-12;-9;1
19064000;-209;202;23;-3;1
19093000;-200;142;-36;-12;1
19121000;-164;149;7;17;1
19149000;-95;163;92;60;1
19177000;-7;71;73;73;1
19206000;29;30;65;67;1
19233000;74;-29;41;47;1
19261000;117;-78;45;42;1
19289000;178;-169;-16;24;1
19316000;200;-164;-30;1;1
19344000;218;-195;-5;13;1
19372000;218;-189;1;2;1
19400000;202;-182;-6;-9;1
19428000;193;-155;15;-10;1
19457000;177;-165;-12;-24;1
19486000;165;-154;-11;-25;1
19514000;147;-141;-14;-23;1
19543000;134;-132;-19;-3;1
19571000;116;-89;14;-4;1
19599000;117;-111;-10;-16;1
19627000;119;-111;-7;1;1
19655000;130;-130;-18;-8;1
19683000;140;-104;20;9;1
19711000;153;-157;-26;-14;1
19739000;163;-165;-26;-10;1
19767000;167;-163;-21;-6;1
19795000;159;-147;-9;-10;1
19823000;153;-121;14;0;1
19851000;151;-158;-30;-22;1
19878000;148;-135;-7;-9;1
19907000;130;-119;-6;-6;1
19935000;108;-100;-6;-10;1
19962000;103;-104;-15;-12;1
19991000;107;-89;5;5;1
20019000;116;-92;22;8;1
20047000;134;-95;25;18;1
20076000;149;-111;21;18;1
20104000;156;-118;21;-5;1
20132000;153;-120;15;13;1
20160000;152;-123;6;10;1
20189000;139;-126;-5;-5;1
20217000;132;-106;10;0;1
20246000;131;-169;-61;-25;1
20274000;135;-112;6;-1;1
20302000;141;-116;11;1;1
20330000;147;-112;18;6;1
20358000;157;-136;1;6;1
20386000;166;-171;-30;-7;1
20414000;175;-134;21;10;1
20442000;176;-124;21;21;1
20470000;169;-177;-34;-27;1
20498000;144;-132;-7;-9;1
20526000;117;-127;-4;-10;1
20554000;100;-111;-27;-13;1
20582000;58;-65;-16;-21;1
20610000;17;-54;-44;-31;1
20638000;17;-54;-44;-31;1
20667000;-32;2;-31;-31;1
20695000;-60;31;-25;-27;1
20724000;-98;54;-36;-32;1
20752000;-118;67;-41;-31;1
20780000;-130;77;-41;-19;1
20808000;-147;120;-9;-16;1
20836000;-165;108;-41;-33;1
20863000;-173;200;56;1;1
20891000;-176;157;0;4;1
20918000;-180;130;-31;-15;1
20946000;-184;152;-10;-14;1
20974000;-195;136;-38;-21;1
21002000;-206;161;-21;-16;1
21030000;-222;149;-51;-34;1
21058000;-233;215;14;-6;1
21086000;-233;188;-16;-6;1
21114000;-229;190;-10;4;1
21142000;-219;159;-36;-1;1
21169000;-217;212;26;6;1
21197000;-223;218;26;-5;1
21224000;-226;194;-3;-14;1
21253000;-228;176;-25;-9;1
21281000;-225;228;36;15;1
21309000;-213;163;-26;11;1
21337000;-208;187;6;10;1
21364000;-209;164;-21;-3;1
21392000;-218;188;-2;3;1
21421000;-220;233;47;17;1
21449000;-202;173;-3;-7;1
21477000;-176;232;89;48;1
21505000;-154;152;48;31;1
21533000;-146;133;6;14;1
21562000;-144;122;0;2;1
21591000;-132;110;-5;2;1
21619000;-140;108;-14;-9;1
21648000;-151;96;-40;-27;1
21676000;-164;128;-18;-17;1
21704000;-170;132;-19;-4;1
21733000;-164;130;-14;1;1
21761000;-134;147;34;21;1
21789000;-92;128;54;41;1
21817000;-52;91;52;51;1
21845000;11;36;53;53;1
21874000;41;7;49;48;1
21902000;98;-51;39;39;1
21931000;158;-78;42;51;1
21960000;197;-189;-19;12;1
21988000;222;-236;-48;-6;1
22016000;223;-219;-28;-1;1
22044000;205;-179;0;-8;1
22072000;191;-189;-25;-21;1
22099000;180;-173;-18;-18;1
22128000;177;-174;-23;-32;1
22156000;167;-144;2;-9;1
22184000;165;-175;-35;-20;1
22212000;166;-136;10;2;1
22240000;160;-153;-15;-6;1
22268000;154;-119;17;5;1
22296000;159;-136;2;-2;1
22324000;172;-157;-8;-2;1
22352000;186;-164;-1;1;1
22380000;200;-169;5;11;1
22409000;204;-206;-32;-8;1
22438000;200;-158;18;1;1
22467000;189;-161;4;12;1
22494000;183;-212;-60;-34;1
22522000;166;-157;-19;-23;1
22551000;155;-152;-19;-20;1
22579000;147;-122;6;1;1
22608000;150;-122;10;-2;1
22636000;155;-125;10;8;1
22664000;151;-124;8;2;1
22693000;153;-113;23;-1;1
22721000;156;-157;-23;-11;1
22749000;163;-138;4;3;1
22777000;161;-117;0;4;1
22805000;166;-124;24;18;1
22833000;171;-142;8;6;1
22862000;175;-113;45;17;1
22890000;168;-163;-18;0;1
22918000;146;-151;-27;-11;1
22946000;118;-117;-16;-16;1
22974000;97;-87;-14;-19;1
23003000;55;-63;-17;-27;1
23031000;9;-26;-20;-28;1
23059000;-19;-15;-36;-37;1
23086000;-43;3;-39;-33;1
23114000;-71;44;-21;-27;1
23142000;-103;81;-19;-33;1
23171000;-131;84;-34;-29;1
23199000;-143;114;-12;-23;1
23227000;-147;107;-6;-14;1
23255000;-154;94;-46;-24;1
23283000;-154;131;-3;-22;1
23311000;-166;101;-50;-18;1
23339000;-178;168;15;-1;1
23366000;-190;157;-10;-16;1
23393000;-202;193;19;7;1
23420000;-209;186;4;12;1
23448000;-215;214;30;12;1
23476000;-226;202;5;-5;1
23503000;-235;236;35;-1;1
23531000;-242;188;-26;-17;1
23559000;-259;196;-33;-28;1
23587000;-268;222;-13;-9;1
23615000;-262;184;-50;-30;1
23644000;-253;224;-14;-1;1
23673000;-243;236;27;11;1
23701000;-248;227;12;-4;1
23730000;-255;200;-25;-2;1
23758000;-262;227;-1;-4;1
23786000;-241;228;21;6;1
23814000;-210;162;-24;-4;1
23843000;-151;146;16;29;1
23871000;-92;104;26;26;1
23899000;-63;84;33;31;1
23927000;-54;58;11;18;1
23956000;-56;38;-12;-4;1
23984000;-61;59;6;-2;1
24013000;-58;58;8;-1;1
24041000;-36;38;17;8;1
24069000;21;11;34;23;1
24096000;40;4;44;30;1
24125000;87;-38;58;52;1
24154000;142;-75;56;52;1
24182000;161;-134;7;23;1
24211000;174;-134;19;16;1
24239000;182;-146;14;6;1
24267000;179;-127;33;12;1
24295000;183;-163;-4;13;1
24323000;180;-168;-13;-13;1
24351000;182;-164;-36;-17;1
24379000;202;-151;28;1;1
24408000;217;-190;7;8;1
24437000;238;-210;-2;10;1
24465000;249;-234;-19;-3;1
24493000;252;-213;7;2;1
24521000;242;-247;-41;-32;1
